,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
48,7sSmQ1OuQqmOabSxLnOnT5,Ella Langley,Dandelion,Loving Life Again,0,226413,False,0.594,0.555,1,-6.353,1,0.0259,0.158,0.000364,0.167,0.361,100.11,4,country
49,0n09hxqzKFxW1MBxIjctny,Ella Langley,Loving Life Again,Loving Life Again,0,226413,False,0.594,0.555,1,-6.353,1,0.0259,0.158,0.000364,0.167,0.361,100.11,4,country
50,7FudQLDIYCX6F7ruexVn2X,Ella Langley,Dandelion,Dandelion,0,240946,False,0.556,0.7,11,-6.605,1,0.0462,0.117,0.0,0.119,0.359,137.85,4,country
51,0BUvxX1tTOSJcsn6Y24Bsp,Zach Bryan,With Heaven On Top,Say Why,0,143985,False,0.515,0.656,3,-5.562,1,0.031,0.155,0.0,0.126,0.614,110.232,4,country
52,0y0W8zIjxv0swTYlg450tP,Luke Combs,The Way I Am,Sleepless in a Hotel Room,0,177674,False,0.455,0.749,8,-6.018,1,0.0326,0.00349,0.00391,0.192,0.564,160.122,4,country
53,5LNgnMLXaoG9KRkL47KlZu,Luke Combs,The Way I Am,Rethink Some Things,0,165289,False,0.572,0.853,11,-6.833,0,0.0474,0.315,2.57e-06,0.494,0.654,87.989,4,country
54,37kzuSrUdgkC3X22F0bLbw,Ella Langley;Miranda Lambert,Dandelion,Butterfly Season (feat. Miranda Lambert),0,212946,False,0.71,0.594,3,-6.155,1,0.0282,0.557,4.63e-05,0.101,0.28,103.976,4,country
55,67Ar9BnEeB5FU5vQBYhbGe,Luke Combs,The Way I Am,Be By You,0,197655,False,0.691,0.561,1,-7.735,1,0.0231,0.612,0.00164,0.109,0.713,94.026,4,country
56,0zwYtowNHP3r9DUHjo6AZl,Ella Langley,Dandelion,You & Me Time,0,200800,False,0.655,0.622,8,-6.304,1,0.0389,0.197,3.41e-05,0.0643,0.619,140.042,4,country
57,6yOHshc12fwMtM74xoy4je,HARDY;Eric Church;Morgan Wallen;Tim McGraw,McArthur,McArthur,0,231533,False,0.545,0.471,4,-9.147,1,0.0276,0.576,0.0093,0.0858,0.532,144.953,4,country
